"X","TownID","TownCode","TownName","VillagCode","VillagEng","VillagName","summ","sum65abov","Center_X","Center_Y","inTwoKM_HOM","inTwoKM_INT","inTwoKM_GRP","inThrKM_HOM","inThrKM_INT","inThrKM_GRP","inFivKM_HOM","inFivKM_INT","inFivKM_GRP","inTenKM_HOM","inTenKM_INT","inTenKM_GRP","labpt_X","labpt_Y"
71,"G02",1000204,"頭城鎮",283,"Daxi Vil.","大溪里",1038,173,122.45174893,25.2402059,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,121.864069656862,24.9503169282883
72,"G02",1000204,"頭城鎮",284,"Hexing Vil.","合興里",386,73,121.87259119,24.9305355,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,121.872591192058,24.930535499213
73,"G02",1000204,"頭城鎮",285,"Gengxin Vil.","更新里",1521,277,121.85798416,24.91348942,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,121.85798416124,24.9134894155244
74,"G02",1000204,"頭城鎮",286,"Wai'ao Vil.","外澳里",1017,185,121.84130346,24.89528359,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.841303463209,24.8952835843662
75,"G02",1000204,"頭城鎮",287,"Gangkou Vil.","港口里",784,133,121.83573692,24.87266363,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.8357369204,24.8726636333087
76,"G02",1000204,"頭城鎮",288,"Wuying Vil.","武營里",1878,266,121.82810114,24.87436005,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.82810113439,24.8743600496887
77,"G02",1000204,"頭城鎮",289,"Dakeng Vil.","大坑里",1581,217,121.82977488,24.85427828,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.829774884068,24.8542782817614
78,"G02",1000204,"頭城鎮",290,"Chengdong Vil.","城東里",841,191,121.82507942,24.85820892,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.825079423577,24.8582089187145
79,"G02",1000204,"頭城鎮",291,"Chengbei Vil.","城北里",593,113,121.82367529,24.85966022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.823675284895,24.8596602220657
80,"G02",1000204,"頭城鎮",292,"Chengxi Vil.","城西里",667,157,121.82180336,24.85554797,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.821803363511,24.8555479660703
